excl_start,excl_end,comment
2021-05-27T22:00:00,2021-05-28T03:00:00,bad period
2021-05-30T00:00:00,2021-05-30T02:00:00,bad period
2021-06-05T12:00:00,2021-06-06T03:00:00,bad period
2021-06-17T00:00:00,2021-06-17T09:00:00,bad period
2021-07-01T19:00:00,2021-07-02T00:00:00,bad period (circle walk!)
2021-07-06T18:00:00,2021-07-07T03:00:00,bad period
2021-07-07T15:00:00,2021-07-08T00:30:00,bad period
2021-07-21T17:00:00,2021-07-22T02:30:00,bad period
2021-07-29T09:00:00,2021-07-29T20:30:00,bad period
2021-08-08T18:00:00,2021-08-09T10:30:00,bad period
2021-08-28T12:00:00,2021-08-29T04:00:00,bad period
2021-09-12T20:00:00,2021-09-14T01:30:00,bad period

